x,y,z,r,g,b
18.1783,-15.1408,-37.7942,106,114,74
7.9254,-24.2122,-36.1475,150,141,129
7.1734,-34.0535,-36.3606,109,101,60
2.8188,37.4183,-34.7453,48,44,42
14.4132,-22.6791,-36.3235,172,163,146
4.1968,40.2424,-38.5634,65,79,87
7.2610,-34.1874,-36.3606,165,150,106
18.1060,-22.4023,-36.3816,197,189,184
18.4512,-16.3673,-37.5693,67,93,60
-53.5022,29.4631,-37.9105,95,105,45
6.8707,-36.2395,-36.4818,172,158,119
-54.0514,29.5844,-35.5473,27,27,18
-12.5579,-25.6059,-36.1519,80,100,36
26.1385,32.2999,-38.4022,123,134,135
0.0504,-34.0055,-36.1872,230,228,226
20.8655,-14.9701,-37.9526,146,136,104
-31.7979,40.4716,-38.3265,16,15,18
18.0045,-12.7404,-37.8175,75,78,84
17.5521,-21.7102,-36.3760,185,177,154
-5.6158,-23.3946,-36.7712,78,77,51
-28.2310,19.6651,-37.4870,87,95,52
22.7463,-15.7985,-37.7702,133,131,91
0.0592,-36.4344,-36.2478,92,93,51
16.2160,-27.3417,-36.4414,228,229,228
15.1857,-22.9440,-36.3130,199,192,179
26.2369,-12.1117,-38.1224,198,194,191
-37.3365,-34.3038,-35.7214,194,188,175
-5.9229,45.8609,-29.6544,122,125,137
19.8423,-3.2326,-39.7643,240,244,245
-4.4099,45.7540,-29.5479,109,115,129
-23.9201,-32.0462,-35.5959,196,192,187
1.3890,29.7543,-36.4663,58,64,60
-17.7202,43.6188,-35.4611,65,66,34
-10.3654,41.8211,-32.8516,101,110,115
-17.0251,36.5546,-34.1545,193,200,195
-29.9207,23.3591,-35.9424,28,22,30
20.8619,-16.5948,-37.5809,34,47,22
0.8233,44.8978,-30.1180,221,231,230
-17.6217,41.8302,-36.5730,33,34,20
1.1874,44.5016,-30.2182,52,54,56
24.5231,26.5363,-37.3166,23,18,20
1.2885,44.2526,-31.0827,23,25,30
14.2508,3.1447,-36.9956,9,14,11
13.3970,7.2174,-35.7572,41,44,47
-29.0745,17.2947,-36.2610,41,46,46
-17.4421,33.9195,-36.4656,81,59,69
8.3449,-35.6625,-35.9670,153,139,104
1.9976,-1.5380,-25.2596,228,170,140
-36.4610,-15.9563,-32.4335,19,30,6
0.7707,-0.9886,-25.4965,202,118,72
-38.6543,-16.1154,-35.3633,21,22,17
4.5020,-37.0727,-36.5811,174,158,115
15.3022,-12.1673,-36.8426,21,27,13
-13.2599,22.1110,-38.0530,63,74,80
-35.6334,-15.6497,-37.0523,137,117,71
0.0535,-36.6759,-36.5759,182,172,123
-12.1467,41.9967,-38.4291,105,41,24
-42.7100,-29.2720,-36.5935,222,195,236
-14.3710,23.1825,-38.1769,72,80,96
1.7055,36.4442,-36.9300,192,188,172
-3.9110,39.8575,-38.6287,202,195,184
-11.4125,21.9463,-38.1917,87,86,89
3.9639,40.9687,-37.5535,84,96,105
17.4659,-10.6727,-37.8618,88,97,101
-29.9579,-43.8164,-35.9906,181,172,167
-18.4705,-10.3997,-32.5666,32,37,10
-14.8869,37.8874,-37.3191,31,34,20
-13.5155,23.1995,-38.1943,95,102,108
3.5402,0.1851,-25.7836,104,62,53
-2.8372,1.7816,-26.3357,109,93,82
-24.3558,-20.7128,-37.0730,163,152,133
3.6334,-0.8150,-24.8495,145,156,155
4.7999,24.9935,-37.3590,25,26,28
-24.6014,-27.6385,-36.1781,72,84,50
18.5748,26.5129,-38.6679,207,213,216
8.8683,27.9234,-38.2780,64,55,61
4.8654,28.0112,-37.7799,244,244,246
12.4772,-2.7412,-26.0561,223,160,124
-38.9692,21.6073,-33.5040,101,118,53
-29.1912,-29.0473,-35.9880,40,48,33
17.6966,28.4163,-38.6020,200,194,182
11.5617,0.7645,-37.9134,42,52,57
-5.1057,-17.3364,-36.9226,119,125,67
-5.8783,-15.2922,-37.1100,74,94,38
10.1587,32.3762,-38.4806,198,196,184
4.0474,41.1470,-37.2200,105,117,122
-11.1515,-24.5612,-36.8145,115,103,58
-2.9597,-25.1312,-36.0156,155,140,114
-7.6875,-24.6270,-36.1300,79,100,45
-10.7741,-26.8558,-35.8214,104,115,62
-4.8904,-24.7133,-35.9638,192,196,165
20.8585,25.8781,-38.0834,127,135,146
3.5215,31.7227,-38.5440,227,253,253
13.0357,7.6003,-35.8055,46,47,49
19.1173,25.8064,-38.6845,199,204,200
-0.2997,-24.7365,-32.1894,133,141,144
12.3203,-2.8189,-25.9756,93,53,50
-1.4307,-18.8937,-37.1740,118,116,49
23.0647,-15.5649,-37.7344,36,51,22
12.1295,-3.1306,-36.4780,77,98,121
15.3575,-0.6791,-36.7362,25,33,27
8.3426,-11.5588,-37.4104,106,99,40
12.2349,-1.1453,-25.4841,87,50,44
4.2123,-19.4521,-37.1918,114,105,54
-2.4907,-19.3344,-37.0098,121,123,61
4.7300,-18.9578,-37.2470,115,112,51
-27.4196,-0.3287,-28.3507,36,46,57
4.2633,-20.2197,-37.2122,99,105,45
4.1979,-6.7539,-28.1678,86,93,110
3.7701,-22.9125,-36.1582,83,99,29
38.2294,28.8069,-39.5401,92,70,64
4.9539,-22.9386,-36.2042,191,182,140
-1.4964,-14.3689,-37.0842,78,92,37
-1.0591,-36.6802,-36.1351,202,204,191
-29.5535,-14.6825,-36.9346,118,116,67
-0.7683,-36.5717,-36.1328,73,89,44
15.0763,-6.1129,-35.6590,20,33,3
30.3168,-18.5677,-36.8228,27,40,14
-1.2254,-37.7233,-36.3950,81,94,40
2.2166,-34.3353,-36.2442,141,136,116
3.5322,-0.3592,-24.9018,150,155,161
2.1882,-34.3399,-36.2801,141,136,116
-17.6127,33.4697,-37.5921,36,42,16
14.3804,-19.2845,-37.1260,60,66,21
-13.9812,34.8968,-37.3112,194,231,236
17.7090,-13.5253,-37.8454,146,154,144
15.4630,-6.7656,-36.2602,24,34,4
4.6948,-36.3609,-36.4334,200,178,142
5.1173,-35.6666,-36.4935,45,56,21
24.1899,27.0494,-36.8431,238,239,244
-42.6908,36.0983,-33.2351,142,134,142
12.3801,-24.3739,-36.2580,197,197,193
5.5803,-35.2021,-36.4802,192,181,145
-17.1727,33.0382,-38.0860,92,44,18
-29.6369,23.2371,-33.9965,145,154,185
5.3937,-36.1491,-36.5509,191,172,140
6.3387,-35.4089,-36.4798,71,83,24
-26.5245,3.0201,-29.0585,11,11,13
6.0505,-35.8401,-36.6130,176,152,119
14.2583,-18.3141,-37.4554,125,119,63
13.6374,-24.2917,-36.2974,240,238,236
-12.7144,-25.5986,-36.5008,36,52,22
4.9806,-37.7833,-36.6769,69,81,35
-39.8607,-24.8330,-36.8302,49,50,47
6.4957,-35.9822,-36.5858,57,49,29
15.4326,-3.1302,-36.8441,111,131,66
9.0258,-32.3379,-36.3786,155,144,140
25.9712,27.3661,-38.7503,73,70,37
-21.0204,31.6444,-38.1049,110,83,32
8.7806,-32.7400,-36.3889,82,83,62
14.3533,-23.9884,-36.3487,197,193,191
15.3975,-20.5857,-36.4089,121,114,62
7.8342,-34.5870,-36.4466,175,157,120
17.0559,-10.3343,-37.8083,58,65,47
10.6606,-32.0149,-36.4118,152,143,146
13.6489,13.8946,-38.0634,137,145,156
-31.7182,39.7485,-38.3138,17,14,16
10.5839,-32.2388,-36.4265,147,146,142
23.5198,-15.7047,-37.8062,127,129,89
-14.9516,33.9342,-37.3837,82,102,46
21.4168,-21.2834,-36.4664,154,154,154
-0.6521,-36.0153,-36.2901,58,75,45
-35.7374,36.3516,-38.0969,232,232,232
-5.0361,-3.9042,-25.2638,182,169,176
-4.4141,45.3171,-30.4104,91,76,67
-27.3577,0.0242,-31.2558,13,15,15
-0.3242,46.7116,-29.7051,115,120,133
-1.8204,46.9304,-30.4663,97,86,72
-20.1882,15.8302,-37.9891,128,130,131
-17.1827,41.7653,-38.0209,76,109,56
14.8486,-6.2382,-35.2605,43,57,21
-28.2523,17.9467,-37.5035,28,31,20
2.6580,24.6679,-38.0003,43,43,42
-8.7017,42.0816,-37.8116,201,85,68
-4.5138,-3.8052,-25.7247,220,159,124
-45.8425,-29.7339,-36.6456,52,59,38
-15.5707,-26.0743,-36.3906,73,80,33
-43.9284,-29.9162,-36.5477,29,33,19
20.6210,-15.8209,-37.7179,46,50,17
16.8281,-16.0688,-36.8254,24,28,14
-0.3170,35.6339,-38.3959,221,219,210
12.4667,33.6360,-38.3344,190,185,172
2.9184,-0.7227,-24.9275,137,139,143
8.0607,27.2991,-37.6823,25,24,22
13.7965,1.7745,-36.8400,19,35,16
-19.6026,-25.7517,-35.7773,67,72,49
4.6567,-15.9494,-33.7154,32,53,17
0.5612,27.1447,-38.3381,240,248,250
21.3036,-14.1493,-38.0391,184,183,181
8.8279,-34.0517,-36.4364,47,51,17
-31.3214,-28.6809,-35.8723,58,62,40
16.0460,-1.2219,-37.9821,75,84,86
-30.8928,-32.1868,-35.6078,174,167,131
0.6162,-35.7408,-36.3351,83,95,41
-27.4215,-30.9633,-35.4649,106,114,56
-6.1856,-16.0800,-37.1029,222,216,202
13.7173,36.1351,-37.5564,47,56,56
0.1094,13.3265,-36.4941,22,33,19
13.2165,27.7564,-38.4018,193,191,179
19.8357,-5.3714,-33.7510,225,230,233
-27.2406,19.6086,-38.1968,185,176,167
18.2690,31.0005,-37.6699,209,225,230
5.2853,-33.2106,-36.1567,100,99,75
17.3254,-12.6701,-37.4886,44,73,106
25.6012,-13.9741,-38.1460,179,171,170
10.8003,-22.6886,-36.2826,178,168,148
-12.3342,-26.2286,-35.9524,42,53,24
6.1348,-21.8221,-36.3600,80,91,22
16.2402,-31.1639,-36.5872,136,127,128
19.5457,28.3347,-38.6361,29,24,18
-0.2318,31.9051,-37.8632,204,197,187
-26.9147,42.8281,-37.8604,60,52,61
-6.0396,-14.6966,-37.1977,66,84,32
17.0419,-22.5958,-36.3611,206,196,186
15.5078,6.0166,-38.1373,56,59,68
11.8259,-21.9650,-36.2233,79,86,35
-0.3875,-24.2509,-34.8249,149,160,169
-15.9708,18.1734,-33.9330,180,179,175
17.5782,-14.1565,-37.6042,61,98,129
15.3356,-0.2908,-36.6998,39,51,27
17.3904,-16.6925,-37.5595,113,99,70
-17.3640,37.5851,-34.8268,57,58,63
5.4813,-18.1316,-37.2645,82,85,30
10.4046,-11.3168,-37.4488,110,111,51
-1.8860,25.1797,-36.2955,192,188,186
5.5459,-19.9129,-37.2102,122,101,56
-38.4442,-29.8286,-35.9802,101,107,59
15.7630,-3.6316,-37.9407,34,39,41
-5.3240,-13.7570,-37.1398,123,123,63
4.9190,-25.0242,-36.0959,50,53,26
15.2912,-9.5489,-36.7588,30,26,23
11.0290,-20.0179,-36.9969,54,66,20
11.1182,-1.6506,-34.5105,92,100,108
1.1396,-37.6106,-36.5064,104,103,55
-17.4458,-24.6349,-36.2421,28,25,18
3.5058,-23.2170,-36.1542,144,139,86
5.4615,-34.8501,-36.3803,156,141,111
6.0799,-35.2143,-36.4910,168,166,126
-15.3172,19.1564,-38.1041,128,128,91
6.8907,-34.4903,-36.4129,86,91,47
6.2920,-36.3341,-36.5145,113,120,81
-4.3143,-21.1434,-36.6747,54,48,36
8.5448,-34.6667,-36.3839,43,58,32
3.5030,-25.4697,-36.2748,117,123,80
-2.1169,38.3064,-31.7412,188,202,205
19.9816,-15.4481,-37.9009,144,140,96
11.9219,-32.1468,-36.4202,150,146,141
-22.7174,29.5490,-38.1380,178,176,172
17.6984,-15.1001,-37.5341,30,44,44
11.1033,-31.9534,-36.4289,152,143,143
-16.8048,37.0175,-34.4505,55,43,45
9.7640,-21.4149,-35.9675,64,82,23
0.0732,46.9516,-30.4103,99,84,67
-46.5579,33.8904,-37.6803,221,231,230
18.7557,-21.4086,-36.3896,88,91,60
-2.7112,46.5634,-31.5003,78,99,112
-15.1829,19.4869,-37.8918,24,28,10
-8.7780,42.1754,-35.3659,190,74,61
-37.6031,-17.7031,-33.7339,37,43,15
7.8686,25.2770,-37.5958,41,50,15
4.0199,41.6639,-33.0879,92,89,77
11.6159,-11.9219,-37.3930,149,141,95
-13.4976,19.0874,-34.6825,27,39,22
1.7707,-24.7729,-36.2267,112,112,81
-35.5517,-12.5681,-36.6478,48,53,67
9.6346,29.1034,-38.3702,81,89,101
-34.4688,-14.8466,-36.8392,117,120,74
-26.2785,2.6617,-28.4956,81,37,26
14.8818,-10.4910,-35.5426,74,85,32
-35.2036,-29.5298,-35.6138,80,79,46
9.0221,-11.4517,-37.2700,121,119,74
-34.1503,-27.3647,-36.4130,11,11,15
14.5009,2.9497,-36.7350,13,20,14
10.1208,45.5733,-38.9757,72,76,84
-30.8215,-31.4640,-35.2497,142,134,92
15.0266,29.7002,-38.5598,171,167,156
2.8673,24.5575,-38.4377,192,192,181
-27.4431,23.1185,-37.3872,39,37,18
8.8795,32.0898,-38.0487,206,208,197
15.2123,-4.1677,-35.9459,18,28,20
12.5877,33.4638,-38.6761,190,187,170
12.7476,12.0448,-36.0511,53,52,58
-19.7454,-23.1179,-36.3902,14,13,12
10.8672,-0.1685,-35.6742,12,13,15
14.1205,32.4420,-38.1397,190,187,172
15.6146,-10.3244,-36.6055,17,31,4
19.9609,27.5280,-38.3768,165,159,156
-9.6022,-23.6571,-36.8931,118,116,69
-49.0972,-31.8114,-36.7539,18,26,11
-9.4833,-23.6599,-36.8053,118,116,69
9.7013,-19.7084,-37.1055,138,133,84
12.9814,9.0913,-35.9638,48,50,52
25.3750,-13.7534,-38.1137,181,173,171
-1.0805,-23.0884,-36.0507,114,125,62
1.5627,-21.4095,-36.9644,102,105,48
4.1013,-13.5186,-37.3382,129,121,54
15.7197,-1.2779,-36.5925,107,129,51
-31.4393,18.4831,-35.7486,15,13,15
-23.6998,-47.9389,-36.2083,91,103,47
13.5294,-8.1537,-37.3011,15,27,14
6.6656,-22.9397,-36.2749,125,124,82
-36.1721,-15.5860,-32.9560,62,79,22
10.4174,-20.1903,-36.9595,66,72,21
5.2486,-22.9138,-36.1854,200,188,149
10.2100,-21.9928,-36.1495,121,114,63
-17.7273,46.4481,-38.4627,14,15,12
0.8718,-37.5296,-36.3818,122,119,72
26.0931,28.2295,-38.6591,76,83,52
1.8979,-37.3889,-36.4922,89,85,48
25.2397,27.6877,-38.7953,15,16,21
3.0657,-36.8572,-36.2512,179,168,134
3.9761,-24.3595,-36.0487,94,101,45
4.1372,-35.8094,-36.3615,173,166,120
15.1963,-5.4630,-35.3899,132,146,49
6.2642,-32.9990,-36.3566,116,113,96
-2.8849,-20.6435,-37.1036,75,84,25
4.7293,-35.5839,-36.4103,196,187,158
7.4940,-33.1936,-36.3987,133,127,112
-38.1788,-31.1401,-35.6645,87,93,55
6.7522,-34.9944,-36.4460,62,63,31
7.1440,-34.7662,-36.4322,188,169,134
5.2709,-36.4169,-36.6284,96,94,53
9.5756,-32.2867,-36.4653,159,149,149
18.7307,27.9278,-38.8529,192,185,185
8.4474,-34.3931,-36.4319,159,138,109
27.9202,-13.3023,-35.8993,212,210,211
16.6329,-23.5109,-36.3617,180,180,178
23.0515,-17.7873,-36.3390,20,34,12
1.3215,44.7369,-29.9524,212,209,210
0.7821,43.0617,-29.8351,212,214,212
15.9556,-9.2829,-37.3729,114,120,95
-30.1872,18.0142,-36.2543,186,180,173
26.0619,-14.7452,-38.0045,159,138,104
-32.5021,-33.1125,-35.5658,165,163,148
-34.7935,-29.3277,-36.0551,68,71,47
1.7230,-12.5470,-37.6179,115,120,55
-34.7935,-29.3277,-36.0551,68,71,47
-28.2935,44.2946,-32.7274,118,129,134
21.0055,-13.9204,-38.0097,201,197,193
9.7461,39.2176,-39.8440,148,148,146
2.0710,36.3057,-38.5592,217,210,197
4.5064,24.8709,-38.0500,43,40,39
-20.3606,33.1338,-37.6289,56,69,57
-31.0438,18.2370,-36.2251,184,171,158
-18.1613,-27.9017,-35.7853,183,175,136
-37.6603,31.6784,-37.9406,34,37,35
-3.8821,-15.8171,-36.8682,93,94,40
-21.5930,-26.8424,-35.9050,93,99,61
4.6544,-13.0228,-37.3686,38,41,24
-4.1379,-14.5139,-30.4581,205,204,192
-33.5823,-31.6841,-35.2881,62,69,25
4.0281,-16.7226,-37.3819,95,96,36
14.6230,-9.4988,-36.2381,217,237,221
24.5717,-20.4330,-36.3528,49,64,23
-0.3058,-35.0589,-36.1546,76,79,87
0.3270,28.1862,-36.9326,254,254,254
3.1496,-37.1814,-36.5154,129,116,77
-10.6007,-27.0629,-35.8946,212,206,196
4.6270,-36.2554,-36.4969,197,175,143
-11.9492,45.2010,-30.5207,47,36,35
4.6270,-36.2554,-36.4969,197,175,143
19.4839,-11.6812,-37.9433,195,193,189
16.0837,-20.1218,-36.3435,82,100,42
14.7086,26.3702,-38.5658,222,224,221
27.3374,-15.0226,-37.2551,61,54,38
7.9427,-35.1584,-36.4295,31,45,16
19.5625,-19.2003,-36.7987,57,68,29
11.5980,4.7410,-28.6810,21,19,22
-11.3469,42.3312,-35.1198,196,199,202
21.2668,-17.6127,-37.5941,95,115,62
14.1322,36.1553,-38.6301,55,54,60
15.3769,-4.8117,-36.1612,17,27,5
3.7800,39.7855,-34.1751,117,105,83
-35.5284,-38.5127,-35.3361,169,169,166
4.7949,43.3867,-37.6788,102,94,76
23.1023,-15.7655,-37.7214,123,123,66
4.4856,-16.3147,-37.3258,169,153,102
3.7948,39.7996,-37.5890,106,99,80
8.7678,31.4541,-37.4034,70,71,76
6.4610,24.9868,-38.5086,191,197,193
13.7267,16.9416,-38.4066,84,85,87
-16.2337,41.5456,-38.7467,138,137,105
12.0328,31.9688,-38.3999,207,204,199
-5.0394,-16.8003,-37.1396,128,128,68
-31.1290,38.4373,-31.5700,67,70,91
-9.8319,-22.6963,-36.6483,46,52,26
17.3573,-17.1046,-34.8839,96,115,45
-15.7622,36.5218,-35.8275,195,197,189
10.9697,1.7320,-37.6805,28,32,42
10.6011,-24.6990,-36.2889,188,185,178
8.0536,-11.9601,-37.3820,136,130,84
15.1615,-1.9418,-36.4593,12,24,12
-14.9201,-25.0785,-36.6744,193,186,150
2.7757,-35.4590,-36.3013,57,69,29
6.6960,-34.1383,-36.3318,160,147,111
2.8886,38.1897,-34.2604,84,92,98
14.6910,-22.0348,-36.3148,165,155,126
-6.6853,-25.0149,-35.8531,59,75,30
9.5355,-12.3273,-37.3747,158,155,105
22.8648,-16.5423,-37.4067,57,64,25
-12.3602,-18.0745,-36.7158,213,207,195
-16.8757,38.4286,-38.2207,26,31,29
13.2624,-17.7997,-37.4919,145,134,81
-22.1811,-28.8377,-35.7437,167,159,120
-35.3449,-11.9897,-33.0205,224,228,230
15.4542,-2.7065,-36.7740,42,52,51
-16.6238,-18.7406,-36.2313,33,37,41
0.4031,29.2954,-36.6336,185,198,209
14.0623,-21.3064,-36.2472,91,90,48
0.7621,24.7348,-38.1655,185,184,179
11.1638,-10.8484,-37.4004,205,190,149
8.6938,27.7658,-36.9247,141,138,131
-27.6514,0.2464,-28.2103,11,13,12
15.2442,-5.7485,-35.4451,66,86,23
16.2384,-22.7680,-36.3278,207,201,196
3.3112,-11.4992,-37.4180,111,106,73
6.2529,-36.7607,-36.5525,168,159,123
7.2098,-35.5752,-36.6574,185,167,127
-9.5467,-17.2201,-37.2808,160,142,125
28.5105,-4.8139,-36.3067,183,187,188
10.4110,-34.0637,-36.2384,48,62,24
9.4011,28.4302,-37.7621,65,80,105
-27.1439,-2.7301,-27.4004,29,27,22
4.4413,-35.3732,-36.3773,177,160,127
10.8219,-1.0560,-36.4974,33,41,52
-3.9800,46.3671,-30.8582,17,22,28
27.8448,-10.7109,-38.1946,173,164,165
-28.6712,17.3893,-37.4518,91,100,46
21.3042,-19.9938,-36.2573,43,57,19
-13.5836,21.9865,-36.5283,199,199,195
-44.3138,-23.6892,-36.9522,88,100,104
-0.3108,-1.6354,-25.7496,224,150,110
-16.7566,-26.4943,-36.3037,48,55,21
7.7226,13.7898,-38.4375,51,55,60
-21.1306,-24.0280,-35.7865,180,168,143
-48.2868,-32.8483,-36.4899,96,101,61
8.1447,-33.9673,-36.3792,173,157,128
-19.9189,-20.3747,-36.0915,12,17,13
-20.8946,-20.8718,-36.4641,72,71,76
-13.3778,-26.7093,-35.6869,61,79,32
-16.1266,-19.4354,-36.5690,23,22,22
0.0317,24.3090,-38.2211,192,189,184
9.5494,-21.8012,-36.1087,140,158,124
13.7400,30.7713,-38.5357,55,63,74
-16.5480,35.2890,-36.5175,25,24,33
-23.1930,61.3384,-35.6721,93,104,37
-35.7573,-14.9581,-35.8317,16,20,14
5.2396,35.3105,-33.6615,118,108,83
20.5234,28.0401,-37.9595,76,110,56
-31.4505,-18.8508,-38.6446,191,187,176
2.3527,28.5847,-37.5818,58,65,67
-25.2857,-10.5564,-29.2254,207,134,97
11.2185,-11.3250,-37.4842,107,106,46
14.1067,4.7118,-36.2804,21,34,16
-34.1028,-38.9290,-35.4281,86,85,103
-44.5223,29.0080,-37.4744,74,67,66
2.4119,-3.9771,-25.9197,123,124,143
15.1735,3.4420,-38.1241,36,40,30
-60.8037,-24.8973,-37.0210,208,202,197
11.1410,-18.6254,-37.4065,102,99,48
-11.4478,44.5319,-29.3800,118,122,130
-27.3482,-1.1659,-28.5773,36,41,52
-37.9864,-14.6510,-30.9734,48,66,16
12.5596,-4.6563,-26.3762,79,48,43
-37.9864,-14.6510,-30.9734,48,66,16
6.4963,16.7957,-37.5751,12,18,24
-4.9302,45.3199,-30.9301,186,183,194
-1.0576,-21.2178,-37.0267,86,90,32
-18.7190,34.9852,-35.2321,69,46,39
15.8428,-7.7385,-37.7004,118,113,84
-36.8085,-16.7363,-32.1143,90,113,24
-3.1321,-23.9766,-35.9769,46,62,19
12.4104,25.3823,-38.5512,202,207,207
-11.7054,-2.8049,-25.2069,227,185,157
2.5229,-21.7268,-36.8142,88,74,41
-16.3344,39.5062,-38.4254,113,103,77
11.7058,18.1083,-38.4225,165,156,149
-8.3811,-2.5888,-25.1078,227,171,138
17.1578,-31.4890,-36.6517,86,84,65
-26.3765,-28.6307,-36.0881,83,95,58
-12.7536,35.1077,-37.8896,150,168,165
4.2300,15.8962,-38.2739,69,69,73
-5.4321,-16.8008,-37.0461,89,104,47
-12.3537,33.9886,-38.1712,185,203,206
16.0522,-31.1010,-36.5621,130,126,128
12.3820,26.1054,-38.5401,195,203,201
-8.2749,41.8419,-38.1368,170,146,140
2.4208,-0.6998,-24.8744,64,64,55
-10.8762,34.6450,-38.2658,200,191,181
-30.6497,-22.7652,-36.0694,14,18,28
-27.6126,-14.7462,-37.0122,168,161,144
17.1591,27.8160,-38.6367,168,171,176
16.7111,27.1251,-38.6012,179,185,183
-13.3835,18.4042,-38.0360,64,56,27
-41.6378,34.7110,-37.7945,56,65,78
8.9047,-22.2290,-36.0980,89,102,47
-26.4056,-26.7270,-35.6572,15,15,15
-29.2331,43.0641,-31.1933,218,233,234
23.4041,26.0667,-37.8242,116,125,130
-25.7671,-26.4577,-35.9925,25,32,21
-27.0798,-1.6421,-27.3443,12,13,15
16.6919,27.1271,-38.6238,179,185,183
-27.8012,-31.6185,-35.8688,161,155,126
18.9446,26.8630,-38.6127,186,191,193
-6.1007,-22.6460,-36.9981,162,147,111
7.8486,31.3162,-36.6747,136,134,138
8.7406,27.5006,-35.8855,127,128,123
8.7418,27.5058,-35.8958,127,128,123
9.1238,32.6234,-38.3312,178,185,191
-35.8088,18.9987,-34.1289,55,60,19
8.0139,25.8054,-37.5104,57,78,40
16.4811,-9.2519,-37.8262,111,114,81
10.9381,-1.2352,-25.4652,241,255,254
-14.8483,-21.5537,-36.6734,15,19,16
6.7345,25.0850,-38.3591,148,127,106
-26.9334,-4.0604,-28.2722,35,50,63
-0.4948,-6.9851,-26.0709,223,125,79
6.7345,25.0850,-38.3591,148,127,106
8.2677,25.2244,-37.8988,30,34,14
-37.1793,-17.3565,-31.5857,110,133,30
40.9119,-4.9467,-37.2572,73,77,39
8.6711,25.7730,-37.9245,27,30,17
-11.5692,-24.0431,-36.7347,148,126,84
15.9881,-6.2002,-37.9361,74,79,82
14.3898,32.7236,-38.5145,183,163,154
15.6329,-7.4084,-37.7491,151,142,118
-33.0871,18.2025,-35.8169,72,101,43
11.0902,13.0267,-35.7848,99,109,112
-15.7622,36.5218,-35.8275,195,197,189
17.3116,-17.4618,-34.8035,14,29,3
-2.5173,-19.0640,-37.0587,112,117,62
19.0144,28.9315,-37.8186,87,96,47
4.1666,-14.9766,-37.2585,38,39,21
-0.3045,-25.0687,-32.4470,25,59,121
11.0692,-23.3573,-36.2741,165,151,137
18.4484,28.3250,-38.5738,92,101,52
13.6357,16.9472,-36.9935,107,100,112
13.4104,10.9440,-35.8262,73,82,84
21.4401,-16.0029,-37.6988,44,54,26
-2.8053,-22.2430,-36.9152,245,252,250
15.3496,-4.3743,-36.3661,11,23,9
18.7950,28.1179,-38.6253,77,69,35
5.0418,-23.3902,-36.1774,155,135,89
-2.6276,-22.3137,-36.9047,93,97,81
-1.5303,-23.3416,-35.8594,134,146,82
5.2812,-24.2774,-36.1443,117,132,60
1.9718,-12.6925,-37.3732,100,107,48
13.1385,8.2099,-35.8317,46,53,73
23.8141,-15.2158,-37.9606,125,116,86
20.3780,28.1929,-38.2943,32,37,20
11.3666,1.7896,-35.8384,105,128,145
24.0038,-18.5055,-35.5555,23,33,13
-0.2549,-21.5446,-37.0292,101,92,46
12.7898,33.1040,-37.7878,60,50,47
14.1845,7.0253,-35.7881,94,105,114
17.6542,-13.1132,-37.8471,30,43,26
0.0952,-24.4985,-36.0376,118,110,61
24.5321,-15.2438,-37.7747,79,75,55
1.2930,-24.9303,-36.1347,135,136,92
25.8632,-14.1122,-38.1556,177,180,174
8.4370,-11.9174,-37.4057,215,195,146
-26.4843,0.8676,-26.3189,88,38,35
9.7563,-12.2540,-37.3801,154,141,92
-12.6808,-24.2091,-36.7696,164,161,124
7.6959,-17.9634,-37.2960,183,171,129
15.2896,-2.4164,-36.6328,126,144,96
-30.4116,41.6769,-34.9460,64,76,83
11.1822,-10.7043,-37.4266,139,122,79
-39.7714,33.2294,-37.5554,52,51,51
7.2060,-20.3088,-37.1919,92,91,45
-9.0208,44.8002,-29.2840,119,127,135
11.1134,-11.9623,-37.4042,48,50,27
-35.1318,19.1762,-34.2381,46,50,17
15.6832,-2.4604,-37.0981,114,132,38
-11.3923,45.9864,-28.6461,106,108,120
15.1366,-6.2467,-35.7275,131,144,62
-17.9363,-28.6318,-35.6889,140,138,99
12.3618,-10.4570,-37.4949,120,112,73
16.1473,-1.2074,-38.0990,202,209,208
-16.4219,-29.8132,-35.6666,200,194,185
16.2182,-1.3802,-38.0646,99,107,109
4.9156,-34.3628,-36.3754,139,125,91
15.5740,-5.5127,-36.3975,23,38,5
7.1361,35.0520,-33.0141,98,96,83
16.0579,-4.6076,-37.9719,185,190,195
-26.5572,-1.7744,-28.3074,19,14,17
2.6893,-36.7289,-36.3733,153,149,102
-11.3770,-24.2441,-36.7653,144,130,92
10.7681,-18.6996,-37.3671,113,109,51
23.6453,-17.2781,-37.5817,90,101,62
10.6908,-19.1055,-37.3382,119,114,56
10.1530,-22.1898,-36.2245,93,94,47
-40.9855,-31.2955,-35.7675,102,113,70
5.3073,-33.7018,-36.2411,75,83,52
18.7757,-15.4006,-37.8773,191,185,171
12.0779,-18.8815,-37.3711,109,109,39
-41.8891,-24.8404,-36.4872,27,29,28
-34.6562,-13.6197,-36.8321,136,120,77
12.8605,-22.1053,-36.3081,123,121,68
-22.9557,-30.5490,-35.5949,189,173,145
22.2037,-16.3743,-37.6168,202,200,194
8.5751,-32.3421,-36.2293,166,159,164
-20.6581,33.9328,-35.8023,201,199,192
-14.0814,-22.0188,-37.0587,172,172,162
7.2397,-35.2066,-36.4809,92,82,45
8.8073,-32.3349,-36.3833,164,158,158
13.0736,-16.9536,-36.8297,0,0,0
